Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,SPID,GOID,GO_id,term,GOSlim_bin,aspect,contig
comp4130_c0_seq1,sp,O00750,P3C2B_HUMAN,63.83,94,34,0,282,1,1088,1181,1.00E-38,142,O00750,GO:0046834,GO:0046834,lipid phosphorylation,other metabolic processes,P,4130
comp4152_c0_seq1,sp,Q5R7A7,SGK3_PONAB,55.22,67,29,1,203,6,33,99,1.00E-17,80.1,Q5R7A7,GO:0007154,GO:0007154,cell communication,other biological processes,P,4152
comp4242_c0_seq1,sp,Q9GV77,FREM2_LYTVA,44.12,68,38,0,45,248,1219,1286,1.00E-10,61.2,Q9GV77,GO:0007155,GO:0007155,cell adhesion,cell adhesion,P,4242
comp4615_c0_seq1,sp,A6QPT6,ZN274_BOVIN,35.24,105,59,2,4,309,503,601,6.00E-09,56.6,A6QPT6,GO:0006355,GO:0006355,"""regulation of transcription, DNA-dependent""",RNA metabolism,P,4615
comp4677_c0_seq1,sp,P25539,RIBD_ECOLI,60,70,28,0,2,211,73,142,2.00E-22,92,P25539,GO:0009231,GO:0009231,riboflavin biosynthetic process,other metabolic processes,P,4677
comp4687_c0_seq1,sp,Q0PMG2,MDGA1_MOUSE,48.57,70,28,2,324,115,840,901,2.00E-12,67.4,Q0PMG2,GO:0001764,GO:0001764,neuron migration,developmental processes,P,4687
comp4786_c1_seq1,sp,Q27256,WHITE_ANOGA,58.74,143,57,2,426,4,141,283,2.00E-47,167,Q27256,GO:0006200,GO:0006200,ATP catabolic process,other metabolic processes,P,4786
comp4825_c0_seq2,sp,P31795,POL_MLVRK,33.73,83,52,2,258,16,360,441,5.00E-06,48.1,P31795,GO:0006310,GO:0006310,DNA recombination,DNA metabolism,P,4825
comp4864_c0_seq1,sp,Q9WTI7,MYO1C_MOUSE,86.3,73,10,0,3,221,174,246,8.00E-39,141,Q9WTI7,GO:0051028,GO:0051028,mRNA transport,transport,P,4864
comp4973_c0_seq2,sp,Q96BD0,SO4A1_HUMAN,33.33,120,69,2,2,343,335,449,4.00E-10,60.5,Q96BD0,GO:0043252,GO:0043252,sodium-independent organic anion transport,transport,P,4973
comp4973_c0_seq1,sp,Q99N01,SO4A1_RAT,37.37,99,57,1,25,306,353,451,3.00E-08,54.3,Q99N01,GO:0070327,GO:0070327,thyroid hormone transport,transport,P,4973
comp5002_c0_seq1,sp,O75503,CLN5_HUMAN,57.35,68,28,1,2,202,140,207,1.00E-21,89.4,O75503,GO:0042551,GO:0042551,neuron maturation,developmental processes,P,5002
comp5114_c0_seq1,sp,P25119,TNR1B_MOUSE,40.32,62,36,1,89,271,55,116,4.00E-08,53.5,P25119,GO:0050728,GO:0050728,negative regulation of inflammatory response,stress response,P,5114
comp5139_c0_seq1,sp,Q10751,ACE_CHICK,75.36,69,17,0,209,3,363,431,4.00E-30,117,Q10751,GO:0006508,GO:0006508,proteolysis,protein metabolism,P,5139
comp5150_c0_seq1,sp,Q9Z1N4,BPNT1_RAT,56.52,69,29,1,1,204,169,237,3.00E-18,79.7,Q9Z1N4,GO:0046854,GO:0046854,phosphoinositide phosphorylation,other metabolic processes,P,5150
comp5183_c0_seq1,sp,Q4L8G8,FDHL_STAHJ,48.48,66,29,2,201,10,739,801,5.00E-13,67.4,Q4L8G8,GO:0015942,GO:0015942,formate metabolic process,other metabolic processes,P,5183
comp5318_c0_seq1,sp,P55159,PON1_RAT,44.78,67,31,2,25,225,42,102,4.00E-09,55.5,P55159,GO:0006629,GO:0006629,lipid metabolic process,other metabolic processes,P,5318
comp5590_c0_seq1,sp,P20385,CF2_DROME,41.79,67,38,1,202,5,415,481,2.00E-11,62.4,P20385,GO:0006355,GO:0006355,"""regulation of transcription, DNA-dependent""",RNA metabolism,P,5590
comp5640_c0_seq1,sp,Q21751,EAA6_CAEEL,42.25,71,37,2,2,205,138,207,7.00E-09,55.1,Q21751,GO:0006835,GO:0006835,dicarboxylic acid transport,transport,P,5640
comp5785_c0_seq1,sp,O00602,FCN1_HUMAN,52.24,67,28,3,1,192,259,324,2.00E-13,67.4,O00602,GO:0008228,GO:0008228,opsonization,transport,P,5785
comp5787_c0_seq1,sp,Q8BHW9,SLNL1_MOUSE,36.84,57,34,2,56,223,218,273,3.00E-06,47.4,Q8BHW9,GO:0008150,GO:0008150,biological_process,other biological processes,P,5787
comp5810_c0_seq1,sp,Q1HKZ5,M3K13_MOUSE,77.92,77,17,0,232,2,203,279,2.00E-38,140,Q1HKZ5,GO:0016310,GO:0016310,phosphorylation,other metabolic processes,P,5810
comp5819_c0_seq1,sp,Q8NEN9,PDZD8_HUMAN,54.95,91,41,0,4,276,206,296,1.00E-29,117,Q8NEN9,GO:0007010,GO:0007010,cytoskeleton organization,cell organization and biogenesis,P,5819
comp5953_c0_seq1,sp,Q6P4Z6,LCMT1_RAT,49.18,61,31,0,256,74,73,133,1.00E-15,73.6,Q6P4Z6,GO:0032259,GO:0032259,methylation,other metabolic processes,P,5953
comp5975_c0_seq1,sp,P12785,FAS_RAT,50,90,45,0,3,272,802,891,5.00E-26,107,P12785,GO:0006633,GO:0006633,fatty acid biosynthetic process,other metabolic processes,P,5975
comp5994_c0_seq1,sp,Q9D119,PPR27_MOUSE,41.82,55,32,0,6,170,68,122,4.00E-07,47.4,Q9D119,GO:0010923,GO:0010923,negative regulation of phosphatase activity,other metabolic processes,P,5994
comp6468_c0_seq1,sp,Q04721,NOTC2_HUMAN,64.38,73,25,1,221,3,545,616,3.00E-23,97.4,Q04721,GO:0007399,GO:0007399,nervous system development,developmental processes,P,6468
comp6563_c0_seq1,sp,P63629,DHOM_MYCTU,55.81,43,19,0,106,234,6,48,9.00E-06,46.2,P63629,GO:0008652,GO:0008652,cellular amino acid biosynthetic process,other metabolic processes,P,6563
comp6661_c0_seq1,sp,P08603,CFAH_HUMAN,33.61,122,70,5,347,6,105,223,1.00E-11,65.9,P08603,GO:0045087,GO:0045087,innate immune response,stress response,P,6661
comp6800_c0_seq1,sp,Q5XXR3,ARHG6_RAT,52,50,22,1,211,354,682,731,3.00E-08,55.1,Q5XXR3,GO:0035023,GO:0035023,regulation of Rho protein signal transduction,signal transduction,P,6800
comp6844_c0_seq1,sp,A4QDF8,MOAA_CORGB,67.19,64,20,1,232,44,142,205,8.00E-19,82.4,A4QDF8,GO:0006777,GO:0006777,Mo-molybdopterin cofactor biosynthetic process,protein metabolism,P,6844
comp6892_c0_seq1,sp,A9GP79,URED_SORC5,34.52,84,51,2,255,4,67,146,8.00E-08,52,A9GP79,GO:0006807,GO:0006807,nitrogen compound metabolic process,other metabolic processes,P,6892
comp6917_c0_seq1,sp,P52965,NIFJ_SYNY3,50.75,67,32,1,201,1,918,983,9.00E-16,75.5,P52965,GO:0008152,GO:0008152,metabolic process,other metabolic processes,P,6917
comp6983_c0_seq1,sp,Q09575,YRD6_CAEEL,43.4,53,26,1,160,2,776,824,5.00E-07,50.4,Q09575,GO:0015074,GO:0015074,DNA integration,DNA metabolism,P,6983
comp7180_c0_seq1,sp,Q5F3F2,MYSM1_CHICK,57.69,78,32,1,374,141,387,463,3.00E-22,96.3,Q5F3F2,GO:0006508,GO:0006508,proteolysis,protein metabolism,P,7180
comp7224_c0_seq1,sp,P58655,PSTA_YERPE,58.11,74,31,0,224,3,152,225,5.00E-22,90.9,P58655,GO:0006810,GO:0006810,transport,transport,P,7224
comp7440_c0_seq1,sp,P47990,XDH_CHICK,51.81,83,40,0,5,253,463,545,5.00E-25,102,P47990,GO:0034418,GO:0034418,urate biosynthetic process,other metabolic processes,P,7440
comp7444_c0_seq1,sp,P20825,POL2_DROME,40.54,74,44,0,3,224,541,614,5.00E-13,67.8,P20825,GO:0015074,GO:0015074,DNA integration,DNA metabolism,P,7444
comp7521_c0_seq1,sp,Q14432,PDE3A_HUMAN,79.59,49,10,0,148,2,809,857,2.00E-19,86.3,Q14432,GO:0007165,GO:0007165,signal transduction,signal transduction,P,7521
comp7559_c0_seq1,sp,Q24498,RY44_DROME,89.47,76,8,0,37,264,2385,2460,2.00E-45,162,Q24498,GO:0006936,GO:0006936,muscle contraction,other biological processes,P,7559
comp7764_c0_seq1,sp,Q9Y5X5,NPFF2_HUMAN,31.31,99,56,3,268,5,225,322,2.00E-07,51.2,Q9Y5X5,GO:0007218,GO:0007218,neuropeptide signaling pathway,signal transduction,P,7764
comp7956_c0_seq1,sp,Q1LZA0,PIGB_BOVIN,49.34,152,75,1,512,63,220,371,3.00E-42,152,Q1LZA0,GO:0006506,GO:0006506,GPI anchor biosynthetic process,protein metabolism,P,7956
comp8039_c0_seq1,sp,Q8TBB6,S7A14_HUMAN,45.59,68,37,0,206,3,250,317,5.00E-10,58.5,Q8TBB6,GO:0010923,GO:0010923,negative regulation of phosphatase activity,other metabolic processes,P,8039
comp8047_c0_seq1,sp,Q3SWX0,NIPA2_BOVIN,39.56,91,55,0,1,273,132,222,3.00E-13,68.2,Q3SWX0,GO:0015693,GO:0015693,magnesium ion transport,transport,P,8047
comp8189_c0_seq1,sp,Q6ZNJ1,NBEL2_HUMAN,39.87,158,88,3,2,457,1458,1614,4.00E-21,94.7,Q6ZNJ1,GO:0030220,GO:0030220,platelet formation,developmental processes,P,8189
comp8194_c0_seq1,sp,Q9QZ05,E2AK4_MOUSE,56.96,79,34,0,6,242,1145,1223,3.00E-22,95.9,Q9QZ05,GO:0030968,GO:0030968,endoplasmic reticulum unfolded protein response,signal transduction,P,8194
comp8201_c0_seq1,sp,Q9VFD5,FEM1A_DROME,50,72,36,0,34,249,83,154,9.00E-17,79.3,Q9VFD5,GO:0051438,GO:0051438,regulation of ubiquitin-protein ligase activity,other biological processes,P,8201
comp8358_c0_seq1,sp,Q562E7,WDR81_HUMAN,50.7,71,34,1,3,215,1871,1940,2.00E-15,75.5,Q562E7,GO:0010923,GO:0010923,negative regulation of phosphatase activity,other metabolic processes,P,8358
comp8364_c0_seq1,sp,A6QM03,FUCT1_BOVIN,35.94,64,39,1,1,192,299,360,2.00E-06,48.5,A6QM03,GO:0030259,GO:0030259,lipid glycosylation,other metabolic processes,P,8364
comp8365_c0_seq1,sp,Q9NPF2,CHSTB_HUMAN,40.98,61,34,1,244,62,264,322,3.00E-10,58.9,Q9NPF2,GO:0030204,GO:0030204,chondroitin sulfate metabolic process,other metabolic processes,P,8365
comp8417_c0_seq1,sp,Q6A7M5,IF2_PROAC,100,75,0,0,226,2,327,401,7.00E-28,110,Q6A7M5,GO:0006184,GO:0006184,GTP catabolic process,other metabolic processes,P,8417
comp8550_c0_seq1,sp,Q8FTQ2,IF3_COREF,66.2,71,23,1,27,236,10,80,4.00E-20,84.7,Q8FTQ2,GO:0006412,GO:0006412,translation,protein metabolism,P,8550
comp8557_c0_seq1,sp,A6MVL7,CYB_MYZSE,51.39,72,34,1,1,213,120,191,6.00E-15,71.6,A6MVL7,GO:0022904,GO:0022904,respiratory electron transport chain,other metabolic processes,P,8557
comp8592_c0_seq1,sp,Q9JIS8,S12A4_MOUSE,65.67,134,46,0,1,402,629,762,5.00E-56,193,Q9JIS8,GO:0055085,GO:0055085,transmembrane transport,transport,P,8592
comp8675_c0_seq1,sp,Q6YKA8,DRK_DROSI,42.62,61,33,2,2,181,61,120,8.00E-09,53.5,Q6YKA8,GO:0007165,GO:0007165,signal transduction,signal transduction,P,8675
comp8701_c0_seq1,sp,Q13042,CDC16_HUMAN,54.1,61,23,1,2,184,48,103,5.00E-14,70.1,Q13042,GO:0008283,GO:0008283,cell proliferation,cell cycle and proliferation,P,8701
comp8725_c0_seq1,sp,P47990,XDH_CHICK,66.27,83,28,0,2,250,1246,1328,5.00E-30,117,P47990,GO:0034418,GO:0034418,urate biosynthetic process,other metabolic processes,P,8725
comp8727_c0_seq1,sp,Q9Y6X6,MYO16_HUMAN,34.67,75,49,0,12,236,1,75,1.00E-07,52,Q9Y6X6,GO:0021549,GO:0021549,cerebellum development,developmental processes,P,8727
comp8843_c0_seq1,sp,Q8NE09,RGS22_HUMAN,52.94,68,32,0,2,205,1083,1150,7.00E-19,84.3,Q8NE09,GO:0043547,GO:0043547,positive regulation of GTPase activity,other biological processes,P,8843
comp8856_c0_seq1,sp,Q8TE73,DYH5_HUMAN,66.67,114,38,0,344,3,618,731,8.00E-47,167,Q8TE73,GO:0001539,GO:0001539,ciliary or flagellar motility,other biological processes,P,8856
comp8976_c0_seq1,sp,Q14CM0,FRPD4_HUMAN,51.35,111,54,0,337,5,228,338,6.00E-33,127,Q14CM0,GO:0051835,GO:0051835,positive regulation of synapse structural plasticity,cell organization and biogenesis,P,8976
comp9055_c0_seq1,sp,A3DHH6,GCH1_CLOTH,62.5,48,18,0,2,145,136,183,7.00E-12,61.6,A3DHH6,GO:0006730,GO:0006730,one-carbon compound metabolic process,other metabolic processes,P,9055
comp9086_c0_seq1,sp,A9ALD1,UGL_BURM1,75.76,66,16,0,201,4,33,98,1.00E-26,102,A9ALD1,GO:0009117,GO:0009117,nucleotide metabolic process,other metabolic processes,P,9086
comp9113_c0_seq1,sp,P91766,ACH1_MANSE,70.87,127,37,0,383,3,190,316,7.00E-44,155,P91766,GO:0006810,GO:0006810,transport,transport,P,9113
comp9183_c0_seq1,sp,Q9Y3Z3,SAMH1_HUMAN,63.56,118,43,0,2,355,325,442,2.00E-47,165,Q9Y3Z3,GO:0008152,GO:0008152,metabolic process,other metabolic processes,P,9183
comp9367_c0_seq1,sp,Q9I048,DUSA_PSEAE,70.59,68,20,0,109,312,15,82,3.00E-25,101,Q9I048,GO:0008033,GO:0008033,tRNA processing,RNA metabolism,P,9367
comp9394_c0_seq1,sp,B0M0P8,GEFL_DICDI,44.62,65,36,0,1,195,230,294,1.00E-09,58.2,B0M0P8,GO:0051056,GO:0051056,regulation of small GTPase mediated signal transduction,signal transduction,P,9394
comp9469_c0_seq1,sp,A4D1F6,LRRD1_HUMAN,33.82,68,44,1,202,2,610,677,4.00E-06,47,A4D1F6,GO:0007165,GO:0007165,signal transduction,signal transduction,P,9469
comp9494_c0_seq1,sp,Q9Y4D2,DGLA_HUMAN,49.35,77,36,1,3,224,343,419,9.00E-19,84.3,Q9Y4D2,GO:0007596,GO:0007596,blood coagulation,stress response,P,9494
comp9621_c0_seq1,sp,Q7ZXS8,CALRL_XENLA,35.8,81,41,3,11,238,380,454,4.00E-06,48.1,Q7ZXS8,GO:0007166,GO:0007166,cell surface receptor linked signal transduction,signal transduction,P,9621
comp9712_c0_seq1,sp,Q8C456,FRITZ_MOUSE,39.19,74,43,1,3,224,63,134,7.00E-11,61.2,Q8C456,GO:0060271,GO:0060271,cilium morphogenesis,cell organization and biogenesis,P,9712
comp9785_c0_seq1,sp,Q6IV78,TAZ_SAISC,46.05,152,82,0,2,457,21,172,3.00E-44,152,Q6IV78,GO:0008152,GO:0008152,metabolic process,other metabolic processes,P,9785
comp9790_c0_seq1,sp,P0C928,RTEL1_DANRE,75,64,16,0,148,339,1,64,5.00E-28,114,P0C928,GO:0006139,GO:0006139,"""nucleobase, nucleoside, nucleotide and nucleic acid metabolic process""",other metabolic processes,P,9790
