,Unnamed: 0,ContigID,evalue,UniProt_Acc,Gene ontology IDs,Gene ontology (GO),Protein names,function
10,10,comp140811_c0_seq2,8e-07,Q51330,GO:0015297; GO:0016021; GO:0006811; GO:0005886,antiporter activity; integral to membrane; ion transport; plasma membrane,Oxalate:formate antiporter (OFA) (Oxalate:formate antiport protein) (Oxalate:formate exchange protein),"Anion transporter that carries out the exchange of  divalent oxalate with monovalent formate, the product of oxalate  decarboxylation, at the plasma membrane, and in doing so catalyzes  the vectorial portion of a proton-motive metabolic cycle that  drives ATP synthesis. {ECO:0000269|PubMed:8636101}. "
11,11,comp130998_c0_seq2,3e-07,P04570,GO:0005509,calcium ion binding,"Sarcoplasmic calcium-binding proteins II, V, VI, and VII (SCP II) (SCP V) (SCP VI) (SCP VII)","Like parvalbumins, SCP\'s seem to be more abundant in  fast contracting muscles, but no functional relationship can be  established from this distribution. "
12,12,comp139557_c0_seq1,4e-07,O15303,GO:0007216; GO:0004930; GO:0000139; GO:0001640; GO:0030425; GO:0050908; GO:0005789; GO:0008066; GO:0005887; GO:0007626; GO:0035841; GO:0090280; GO:0060041; GO:0007268,G-protein coupled glutamate receptor signaling pathway; G-protein coupled receptor activity; Golgi membrane; adenylate cyclase inhibiting G-protein coupled glutamate receptor activity; dendrite; detection of light stimulus involved in visual perception; endoplasmic reticulum membrane; glutamate receptor activity; integral to plasma membrane; locomotory behavior; new growing cell tip; positive regulation of calcium ion import; retina development in camera-type eye; synaptic transmission,Metabotropic glutamate receptor 6 (mGluR6),"G-protein coupled receptor for glutamate. Ligand binding  causes a conformation change that triggers signaling via guanine  nucleotide-binding proteins (G proteins) and modulates the  activity of down-stream effectors, such as adenylate cyclase.  Signaling inhibits adenylate cyclase activity (By similarity).  Signaling stimulates TRPM1 channel activity and Ca(2+) uptake.  Required for normal vision. {ECO:0000250,  ECO:0000269|PubMed:23452348}. "
13,13,comp134860_c0_seq1,9.000000000000002e-07,Q9JHG0,GO:0005794; GO:0030054; GO:0005783; GO:0005615; GO:0045202,Golgi apparatus; cell junction; endoplasmic reticulum; extracellular space; synapse,Cerebellin-3,May be involved in synaptic functions in the CNS. 
14,14,comp119550_c0_seq1,4e-09,P07911,GO:0005794; GO:0031225; GO:0016324; GO:0016323; GO:0005509; GO:0006968; GO:0048878; GO:0060170; GO:0031410; GO:0007588; GO:0005615; GO:0019898; GO:0045121; GO:0072218; GO:0072221; GO:0072233; GO:0008285; GO:0072372; GO:2000021; GO:0010033; GO:0000922,Golgi apparatus; anchored to membrane; apical plasma membrane; basolateral plasma membrane; calcium ion binding; cellular defense response; chemical homeostasis; cilium membrane; cytoplasmic vesicle; excretion; extracellular space; extrinsic to membrane; membrane raft; metanephric ascending thin limb development; metanephric distal convoluted tubule development; metanephric thick ascending limb development; negative regulation of cell proliferation; primary cilium; regulation of ion homeostasis; response to organic substance; spindle pole,"Uromodulin (Tamm-Horsfall urinary glycoprotein) (THP) [Cleaved into: Uromodulin, secreted form]","Uromodulin: Functions in biogenesis and organization of  the apical membrane of epithelial cells of the thick ascending  limb of Henle\'s loop (TALH), where it promotes formation of  complex filamentous gel-like structure that may play a role in the  water barrier permeability (Probable). May serve as a receptor for  binding and endocytosis of cytokines (IL-1, IL-2) and TNF  (PubMed:3498215). Facilitates neutrophil migration across renal  epithelia (PubMed:20798515). {ECO:0000269|PubMed:20798515,  ECO:0000269|PubMed:3498215, ECO:0000305}. "
15,15,comp142829_c0_seq1,2e-19,Q6P2Z3,GO:0008301; GO:0003705; GO:0009653; GO:0030154; GO:0048264; GO:0003690; GO:0007398; GO:0009790; GO:0000122; GO:0007399; GO:0005634; GO:0048513; GO:0045893; GO:0051090; GO:0043565; GO:0008134; GO:0005667,"DNA binding, bending; RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity; anatomical structure morphogenesis; cell differentiation; determination of ventral identity; double-stranded DNA binding; ectoderm development; embryo development; negative regulation of transcription from RNA polymerase II promoter; nervous system development; nucleus; organ development; positive regulation of transcription, DNA-dependent; regulation of sequence-specific DNA binding transcription factor activity; sequence-specific DNA binding; transcription factor binding; transcription factor complex",Forkhead box protein I1 (FoxI1),"Transcription factor. Essential for ventral  specification of the early cephalic (head) ectoderm during  gastrulation, playing a role in the 'non-neural' versus 'neural'  cell fate choice. Binds to DNA via the target sequence 5'-  [AG]TAAA[CT]A-3', with 5'-ATAAACA-3' being the preferred binding  site (By similarity). {ECO:0000250}. "
16,16,comp138855_c0_seq1,0.0,Q3TDQ1,GO:0030433; GO:0043686; GO:0004579; GO:0006516; GO:0016021; GO:0008250; GO:0043687; GO:0018279; GO:0006986,ER-associated protein catabolic process; co-translational protein modification; dolichyl-diphosphooligosaccharide-protein glycotransferase activity; glycoprotein catabolic process; integral to membrane; oligosaccharyltransferase complex; post-translational protein modification; protein N-linked glycosylation via asparagine; response to unfolded protein,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B (Oligosaccharyl transferase subunit STT3B) (STT3-B) (EC 2.4.99.18) (B6dom1 antigen) (Source of immunodominant MHC-associated peptides),"Catalytic component of oligosaccharyltransferase (OST)  complex which catalyzes the transfer of a high mannose  oligosaccharide from a lipid-linked oligosaccharide donor to an  asparagine residue within an Asn-X-Ser/Thr consensus motif in  nascent polypeptide chains. N-glycosylation occurs  cotranslationally and the complex associates with the Sec61  complex at the channel-forming translocon complex that mediates  protein translocation across the endoplasmic reticulum (ER). STT3B  is present in a small subset of OST complexes and mediates both  cotranslational and post-translational N-glycosylation of target  proteins: STT3B-containing complexes are required for efficient  cotranslational glycosylation and while they are less competent  than STT3A-containing complexes for cotranslational glycosylation,  they have the ability to mediate glycosylation of some nascent  sites that are not accessible for STT3A. STT3B-containing  complexes also act post-translationally and mediate modification  of skipped glycosylation sites in unfolded proteins. Plays a role  in ER-associated degradation (ERAD) pathway that mediates  ubiquitin-dependent degradation of misfolded endoplasmic reticulum  proteins by mediating N-glycosylation of unfolded proteins, which  are then recognized by the ERAD pathway and targeted for  degradation (By similarity). {ECO:0000250}. "
17,17,comp139176_c1_seq1,6.999999999999997e-49,Q7LFX5,GO:0050656; GO:0000139; GO:0050659; GO:0030206; GO:0019319; GO:0016021,3'-phosphoadenosine 5'-phosphosulfate binding; Golgi membrane; N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase activity; chondroitin sulfate biosynthetic process; hexose biosynthetic process; integral to membrane,Carbohydrate sulfotransferase 15 (EC 2.8.2.33) (B-cell RAG-associated gene protein) (hBRAG) (N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase) (GalNAc4S-6ST),"Sulfotransferase that transfers sulfate from 3\'-  phosphoadenosine 5\'-phosphosulfate (PAPS) to the C-6 hydroxyl  group of the GalNAc 4-sulfate residue of chondroitin sulfate A and  forms chondroitin sulfate E containing GlcA-GalNAc(4,6-SO(4))  repeating units. It also transfers sulfate to a unique non-  reducing terminal sequence, GalNAc(4SO4)-GlcA(2SO4)-GalNAc(6SO4),  to yield a highly sulfated structure similar to the structure  found in thrombomodulin chondroitin sulfate. May also act as a B-  cell receptor involved in BCR ligation-mediated early activation  that mediate regulatory signals key to B-cell development and/or  regulation of B-cell-specific RAG expression; however such results  are unclear in vivo. {ECO:0000269|PubMed:11572857,  ECO:0000269|PubMed:12874280}. "
18,18,comp137006_c1_seq2,2e-08,Q9JHE4,GO:0000139; GO:0006682; GO:0001733; GO:0016021; GO:0042552; GO:0007283,Golgi membrane; galactosylceramide biosynthetic process; galactosylceramide sulfotransferase activity; integral to membrane; myelination; spermatogenesis,Galactosylceramide sulfotransferase (GalCer sulfotransferase) (EC 2.8.2.11) (3'-phosphoadenosine-5'-phosphosulfate:GalCer sulfotransferase) (3'-phosphoadenylylsulfate:galactosylceramide 3'-sulfotransferase) (Cerebroside sulfotransferase),"Catalyzes the sulfation of membrane glycolipids. Seems  to prefer beta-glycosides at the non-reducing termini of sugar  chains attached to a lipid moiety. Catalyzes the synthesis of  HSO3-3-galactosylceramide (sulfatide), a major lipid component of  the myelin sheath and of HSO3-3-monogalactosylalkylacylglycerol  (seminolipid), present in spermatocytes. Also acts on  lactosylceramide, galactosyl 1-alkyl-2-sn-glycerol and galactosyl  diacylglycerol (in vitro). {ECO:0000269|PubMed:11917099}. "
19,19,comp54365_c0_seq1,1e-21,Q86UP9,GO:0016021,integral to membrane,Lipoma HMGIC fusion partner-like 3 protein,
20,20,comp136894_c0_seq1,1.999999999999999e-124,P12329,GO:0016168; GO:0009535; GO:0016021; GO:0046872; GO:0009765; GO:0009522; GO:0009523; GO:0018298,"chlorophyll binding; chloroplast thylakoid membrane; integral to membrane; metal ion binding; photosynthesis, light harvesting; photosystem I; photosystem II; protein-chromophore linkage","Chlorophyll a-b binding protein 1, chloroplastic (LHCII type I CAB-1) (LHCP)","The light-harvesting complex (LHC) functions as a light  receptor, it captures and delivers excitation energy to  photosystems with which it is closely associated. "
21,21,comp141065_c1_seq1,5.999999999999997e-68,Q02154,GO:0005524; GO:0005737; GO:0004356; GO:0006542; GO:0009399,ATP binding; cytoplasm; glutamate-ammonia ligase activity; glutamine biosynthetic process; nitrogen fixation,Glutamine synthetase 2 (EC 6.3.1.2) (Glutamate--ammonia ligase II) (Glutamine synthetase II) (GSII),
22,22,comp117443_c0_seq1,2e-08,Q9ES30,GO:0005581; GO:0005615; GO:0042593; GO:0042802; GO:0045721; GO:0070374; GO:0070165; GO:0050715; GO:0051897; GO:0051259,collagen; extracellular space; glucose homeostasis; identical protein binding; negative regulation of gluconeogenesis; positive regulation of ERK1 and ERK2 cascade; positive regulation of adiponectin secretion; positive regulation of cytokine secretion; positive regulation of protein kinase B signaling cascade; protein oligomerization,Complement C1q tumor necrosis factor-related protein 3 (Collagenous repeat-containing sequence 26 kDa protein) (CORS26) (Secretory protein CORS26),
23,23,comp141065_c1_seq7,0.0,Q04831,GO:0005524; GO:0005737; GO:0004356; GO:0006542,ATP binding; cytoplasm; glutamate-ammonia ligase activity; glutamine biosynthetic process,Glutamine synthetase (EC 6.3.1.2) (Glutamate--ammonia ligase),
24,24,comp140793_c0_seq3,2.999999999999999e-80,Q9VCA2,GO:0006915; GO:0016021; GO:0006811; GO:0022857,apoptotic process; integral to membrane; ion transport; transmembrane transporter activity,Organic cation transporter protein,Probably transports organic cations. {ECO:0000250}. 
25,25,comp142230_c1_seq2,8.999999999999995e-131,Q8MPM1,GO:0051693; GO:0005737; GO:0005856,actin filament capping; cytoplasm; cytoskeleton,Gelsolin-like protein 2 (Actin-modulator) (EWAM-P2),"Calcium-regulated protein that binds to the plus (or  barbed) ends of actin monomers or filaments, preventing monomer  exchange (end-blocking or capping). Can promote the assembly of  monomers into filaments (nucleation) as well as sever existing  filaments. {ECO:0000269|Ref.2}. "
26,26,comp125036_c0_seq1,5.999999999999998e-46,Q08E40,GO:0016021; GO:0046873; GO:0006829,integral to membrane; metal ion transmembrane transporter activity; zinc ion transport,Zinc transporter ZIP12 (Solute carrier family 39 member 12) (Zrt- and Irt-like protein 12) (ZIP-12),Acts as a zinc-influx transporter. {ECO:0000305}. 
27,27,comp129936_c0_seq1,7e-16,O44252,GO:0016021; GO:0016020; GO:0007520; GO:0007519,integral to membrane; membrane; myoblast fusion; skeletal muscle tissue development,Protein rolling stone,"May have a central role in the fusion process during  myogenesis, within the somatic mesoderm.  {ECO:0000269|PubMed:9230076}. "
28,28,comp139150_c0_seq1,5e-94,P04323,GO:0015074; GO:0003723; GO:0006278; GO:0003964; GO:0004190; GO:0004519; GO:0090305; GO:0006508,DNA integration; RNA binding; RNA-dependent DNA replication; RNA-directed DNA polymerase activity; aspartic-type endopeptidase activity; endonuclease activity; nucleic acid phosphodiester bond hydrolysis; proteolysis,Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease],
29,29,comp139501_c0_seq3,2e-29,Q15262,GO:0005912; GO:0030424; GO:0016477; GO:0009986; GO:0005911; GO:0034644; GO:0034614; GO:0030425; GO:0048041; GO:0005887; GO:0031256; GO:0045786; GO:0030336; GO:0010839; GO:0045892; GO:0043025; GO:0001750; GO:0034394; GO:0007179; GO:0005001,"adherens junction; axon; cell migration; cell surface; cell-cell junction; cellular response to UV; cellular response to reactive oxygen species; dendrite; focal adhesion assembly; integral to plasma membrane; leading edge membrane; negative regulation of cell cycle; negative regulation of cell migration; negative regulation of keratinocyte proliferation; negative regulation of transcription, DNA-dependent; neuronal cell body; photoreceptor outer segment; protein localization to cell surface; transforming growth factor beta receptor signaling pathway; transmembrane receptor protein tyrosine phosphatase activity",Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa) (EC 3.1.3.48),"Regulation of processes involving cell contact and  adhesion such as growth control, tumor invasion, and metastasis.  Negative regulator of EGFR signaling pathway. Forms complexes with  beta-catenin and gamma-catenin/plakoglobin. Beta-catenin may be a  substrate for the catalytic activity of PTPRK/PTP-kappa.  {ECO:0000269|PubMed:19836242}. "
30,30,comp133327_c0_seq2,4e-07,Q07079,GO:0071320; GO:0001968; GO:0042593; GO:0006006; GO:0031069; GO:0016942; GO:0035556; GO:0060056; GO:0043569; GO:0045668; GO:0014912; GO:0048662; GO:0017148; GO:0001649; GO:0043568; GO:0051897; GO:0001558; GO:0010906; GO:0048630; GO:0051146; GO:0044342,cellular response to cAMP; fibronectin binding; glucose homeostasis; glucose metabolic process; hair follicle morphogenesis; insulin-like growth factor binding protein complex; intracellular signal transduction; mammary gland involution; negative regulation of insulin-like growth factor receptor signaling pathway; negative regulation of osteoblast differentiation; negative regulation of smooth muscle cell migration; negative regulation of smooth muscle cell proliferation; negative regulation of translation; osteoblast differentiation; positive regulation of insulin-like growth factor receptor signaling pathway; positive regulation of protein kinase B signaling cascade; regulation of cell growth; regulation of glucose metabolic process; skeletal muscle tissue growth; striated muscle cell differentiation; type B pancreatic cell proliferation,Insulin-like growth factor-binding protein 5 (IBP-5) (IGF-binding protein 5) (IGFBP-5),IGF-binding proteins prolong the half-life of the IGFs  and have been shown to either inhibit or stimulate the growth  promoting effects of the IGFs on cell culture. They alter the  interaction of IGFs with their cell surface receptors. 
31,31,comp131848_c0_seq1,2e-17,Q95332,GO:0006579; GO:0047150; GO:0005737; GO:0008898; GO:0009086; GO:0008270,amino-acid betaine catabolic process; betaine-homocysteine S-methyltransferase activity; cytoplasm; homocysteine S-methyltransferase activity; methionine biosynthetic process; zinc ion binding,Betaine--homocysteine S-methyltransferase 1 (EC 2.1.1.5) (Fragment),"Involved in the regulation of homocysteine metabolism.  Converts betaine and homocysteine to dimethylglycine and  methionine, respectively. This reaction is also required for the  irreversible oxidation of choline. "
32,32,comp135624_c0_seq4,2e-16,Q13105,GO:0003677; GO:0006987; GO:0044267; GO:0007398; GO:0001702; GO:0046872; GO:0045786; GO:0005654; GO:0045893; GO:0003700; GO:0006351,"DNA binding; activation of signaling protein activity involved in unfolded protein response; cellular protein metabolic process; ectoderm development; gastrulation with mouth forming second; metal ion binding; negative regulation of cell cycle; nucleoplasm; positive regulation of transcription, DNA-dependent; sequence-specific DNA binding transcription factor activity; transcription, DNA-dependent",Zinc finger and BTB domain-containing protein 17 (Myc-interacting zinc finger protein 1) (Miz-1) (Zinc finger protein 151) (Zinc finger protein 60),"Transcription factor that can function as an activator  or repressor depending on its binding partners, and by targeting  negative regulators of cell cycle progression. Plays a critical  role in early lymphocyte development, where it is essential to  prevent apoptosis in lymphoid precursors, allowing them to survive  in response to IL7 and undergo proper lineage commitment. Has been  shown to bind to the promoters of adenovirus major late protein  and cyclin D1 and activate transcription. Required for early  embryonic development during gastrulation. Represses RB1  transcription; this repression can be blocked by interaction with  ZBTB49 isoform 3/ZNF509S1 (PubMed:25245946).  {ECO:0000269|PubMed:16142238, ECO:0000269|PubMed:19164764,  ECO:0000269|PubMed:25245946, ECO:0000269|PubMed:9308237,  ECO:0000269|PubMed:9312026}. "
33,33,comp125595_c0_seq1,1e-45,P28714,GO:0005576; GO:0004602; GO:0006979,extracellular region; glutathione peroxidase activity; response to oxidative stress,Epididymal secretory glutathione peroxidase (EC 1.11.1.9) (Epididymis-specific glutathione peroxidase-like protein) (EGLP) (Glutathione peroxidase 5) (GPx-5) (GSHPx-5),"Protects cells and enzymes from oxidative damage, by  catalyzing the reduction of hydrogen peroxide, lipid peroxides and  organic hydroperoxide, by glutathione. May constitute a  glutathione peroxidase-like protective system against peroxide  damage in sperm membrane lipids. "
34,34,comp134213_c0_seq1,1e-49,Q868T3,GO:0018990; GO:0005887; GO:0008188; GO:0005000,"ecdysis, chitin-based cuticle; integral to plasma membrane; neuropeptide receptor activity; vasopressin receptor activity",Cardioacceleratory peptide receptor,"Binds to the cardioactive peptide ( AP), which is a  neuropeptide. {ECO:0000269|PubMed:12177421,  ECO:0000269|PubMed:12646179}. "
35,35,comp108107_c0_seq1,8e-10,O00339,GO:0007411; GO:0005604; GO:0005509; GO:0031104; GO:0008347; GO:0001764; GO:0005578; GO:0048678,axon guidance; basement membrane; calcium ion binding; dendrite regeneration; glial cell migration; neuron migration; proteinaceous extracellular matrix; response to axon injury,Matrilin-2,Involved in matrix assembly. {ECO:0000250}. 
36,36,comp131396_c0_seq1,4e-19,Q8VHX6,GO:0030018; GO:0003779; GO:0015629; GO:0030029; GO:0048747; GO:0042383,Z disc; actin binding; actin cytoskeleton; actin filament-based process; muscle fiber development; sarcolemma,Filamin-C (FLN-C) (ABP-280-like protein) (ABP-L) (Actin-binding-like protein) (Filamin-2) (Gamma-filamin),"Muscle-specific filamin, which plays a central role in  muscle cells, probably by functioning as a large actin-cross-  linking protein. May be involved in reorganizing the actin  cytoskeleton in response to signaling events, and may also display  structural functions at the Z lines in muscle cells. Critical for  normal myogenesis and for maintaining the structural integrity of  the muscle fibers. {ECO:0000269|PubMed:16914736}. "
37,37,comp131591_c0_seq1,2e-59,A8DEZ8,GO:0018112,proline racemase activity,Proline racemase (EC 5.1.1.4) (CdPRAC),"Strong B-cell mitogen. Plays an important role in the  regulation of intra- and extracellular amino acid pools, allowing  the bacterium to profit from host precursors and enzymatic  pathways. {ECO:0000269|PubMed:17849014}. "
38,38,comp141212_c0_seq4,8e-45,Q0V9W6,GO:0000932,cytoplasmic mRNA processing body,BTB/POZ domain-containing protein 6,Adapter protein for the cul3 E3 ubiquitin-protein ligase  complex. Involved in late neuronal development and muscle  formation (By similarity). {ECO:0000250}. 
39,39,comp127292_c0_seq1,4e-45,Q8BRK9,GO:0000139; GO:0030246; GO:0016799; GO:0016021; GO:0006013; GO:0015923; GO:0004572; GO:0006486; GO:0008270,"Golgi membrane; carbohydrate binding; hydrolase activity, hydrolyzing N-glycosyl compounds; integral to membrane; mannose metabolic process; mannosidase activity; mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase activity; protein glycosylation; zinc ion binding","Alpha-mannosidase 2x (EC 3.2.1.114) (Alpha-mannosidase IIx) (Man IIx) (Mannosidase alpha class 2A member 2) (Mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase)",Catalyzes the first committed step in the biosynthesis  of complex N-glycans. It controls conversion of high mannose to  complex N-glycans; the final hydrolytic step in the N-glycan  maturation pathway (By similarity). {ECO:0000250}. 
40,40,comp142733_c2_seq1,6e-17,P33300,GO:0006688; GO:0016021; GO:0005622; GO:0006675; GO:0000030,glycosphingolipid biosynthetic process; integral to membrane; intracellular; mannosyl-inositol phosphorylceramide metabolic process; mannosyltransferase activity,Mannosyl phosphorylinositol ceramide synthase SUR1 (EC 2.4.-.-),Involved in the synthesis of mannosyl phosphorylinositol  ceramide. Catalyzes the addition of mannosyl to phosphorylinositol  ceramide. Suppressor of RVS161 mutation.  {ECO:0000269|PubMed:12954640}. 
41,41,comp127158_c0_seq1,2.9999999999999997e-29,P08478,GO:0005507; GO:0016021; GO:0006518; GO:0004598; GO:0004504; GO:0030658,copper ion binding; integral to membrane; peptide metabolic process; peptidylamidoglycolate lyase activity; peptidylglycine monooxygenase activity; transport vesicle membrane,Peptidyl-glycine alpha-amidating monooxygenase A (PAM-A) (Peptide C-terminal alpha-amidating enzyme I) (AE-I) (Peptidyl-glycine alpha-amidating monooxygenase I) [Includes: Peptidylglycine alpha-hydroxylating monooxygenase A (PHM-A) (EC 1.14.17.3); Peptidyl-alpha-hydroxyglycine alpha-amidating lyase A (EC 4.3.2.5) (Peptidylamidoglycolate lyase-A) (PAL-A)],Bifunctional enzyme that catalyzes 2 sequential steps in  C-terminal alpha-amidation of peptides. The monooxygenase part  produces an unstable peptidyl(2-hydroxyglycine) intermediate that  is dismutated to glyoxylate and the corresponding desglycine  peptide amide by the lyase part. C-terminal amidation of peptides  such as neuropeptides is essential for full biological activity.  {ECO:0000269|PubMed:1935950}. 
