GeoID,SPID,evalue,ProteinName,Organism
comp100414_c1_seq1,Q9H116,9E-22,GDNF-inducible zinc finger protein 1 (Zinc finger and BTB domain-containing protein 23) (Zinc finger protein 336),Homo sapiens (Human)
comp100439_c1_seq1,P58295,3E-33,Sodium- and chloride-dependent glycine transporter 2 (GlyT-2) (GlyT2) (Solute carrier family 6 member 5),Rattus norvegicus (Rat)
comp100440_c0_seq1,Q9JJW0,2E-77,Peroxisomal membrane protein 4 (24 kDa peroxisomal intrinsic membrane protein),Mus musculus (Mouse)
comp100442_c0_seq1,Q02318,1E-35,"""Sterol 26-hydroxylase, mitochondrial (EC 1.14.13.15) (5-beta-cholestane-3-alpha,7-alpha,12-alpha-triol 27-hydroxylase) (Cytochrome P-450C27/25) (Cytochrome P450 27) (Sterol 27-hydroxylase) (Vitamin D(3) 25-hydroxylase)""",Homo sapiens (Human)
comp100466_c0_seq1,Q9CRG1,7E-09,Transmembrane 7 superfamily member 3 (NARP1),Mus musculus (Mouse)
comp100480_c0_seq1,Q05688,2E-32,Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain] (Fragment),Bos taurus (Bovine)
comp100480_c1_seq1,Q91571,1E-16,Ephrin type-B receptor 1-A (EC 2.7.10.1) (Tyrosine-protein kinase receptor XEK),Xenopus laevis (African clawed frog)
comp100502_c1_seq1,Q04791,4E-14,"""Fatty acyl-CoA hydrolase precursor, medium chain (EC 3.1.2.-) (Thioesterase B)""",Anas platyrhynchos (Domestic duck) (Anas boschas)
comp100517_c1_seq1,Q8IZJ1,4E-36,Netrin receptor UNC5B (Protein unc-5 homolog 2) (Protein unc-5 homolog B) (p53-regulated receptor for death and life protein 1),Homo sapiens (Human)
comp100523_c0_seq1,Q02338,4E-15,"""D-beta-hydroxybutyrate dehydrogenase, mitochondrial (BDH) (EC 1.1.1.30) (3-hydroxybutyrate dehydrogenase)""",Homo sapiens (Human)
comp100540_c0_seq1,Q8N4P3,4E-59,"""Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1 (EC 3.1.7.2) (HD domain-containing protein 3) (Metazoan SpoT homolog 1) (MESH1) (Penta-phosphate guanosine-3'-pyrophosphohydrolase) ((ppGpp)ase)""",Homo sapiens (Human)
comp100564_c0_seq2,Q2YDU3,9E-120,OTU domain-containing protein 5 (EC 3.4.19.12) (Deubiquitinating enzyme A) (DUBA),Rattus norvegicus (Rat)
comp100581_c0_seq1,O35099,1E-61,Mitogen-activated protein kinase kinase kinase 5 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 1) (ASK-1) (MAPK/ERK kinase kinase 5) (MEK kinase 5) (MEKK 5),Mus musculus (Mouse)
comp100599_c0_seq1,P22629,4E-14,Streptavidin,Streptomyces avidinii
comp10062_c0_seq1,Q5EAJ7,6E-37,Major vault protein (MVP),Strongylocentrotus purpuratus (Purple sea urchin)
comp100629_c0_seq1,P0C6F1,2E-20,"""Dynein heavy chain 2, axonemal (Axonemal beta dynein heavy chain 2) (Ciliary dynein heavy chain 2)""",Mus musculus (Mouse)
comp100646_c0_seq1,Q6A8N5,4E-89,Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-),Propionibacterium acnes (strain KPA171202 / DSM 16379)
comp100646_c0_seq2,Q834C0,4E-12,Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-),1748
comp100661_c1_seq1,Q8BPB0,2E-131,MOB kinase activator 1B (Mob1 homolog 1A) (Mps one binder kinase activator-like 1A),Mus musculus (Mouse)
comp10068_c0_seq1,Q803R5,1E-10,Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1 (EC 2.1.1.57) (Cap1 2'O-ribose methyltransferase 1) (MTr1) (FtsJ methyltransferase domain-containing protein 2),Danio rerio (Zebrafish) (Brachydanio rerio)
comp100680_c0_seq1,Q80TE4,4E-22,Signal-induced proliferation-associated 1-like protein 2 (SIPA1-like protein 2),Mus musculus (Mouse)
comp100688_c2_seq1,Q7Z407,5E-14,CUB and sushi domain-containing protein 3 (CUB and sushi multiple domains protein 3),Homo sapiens (Human)
comp100707_c0_seq1,Q92609,4E-44,TBC1 domain family member 5,Homo sapiens (Human)
comp100709_c3_seq1,P33450,5E-08,Cadherin-related tumor suppressor (Protein fat),Drosophila melanogaster (Fruit fly)
comp100725_c0_seq3,P86982,7E-32,Insoluble matrix shell protein 1 (IMSP1) (Fragment),Venerupis philippinarum (Japanese carpet shell) (Tapes japonica)
comp100732_c0_seq2,Q6IV77,7E-25,Tafazzin,Macaca mulatta (Rhesus macaque)
comp100741_c0_seq1,Q6IP59,2E-104,Choline transporter-like protein 2 (Solute carrier family 44 member 2),Xenopus laevis (African clawed frog)
comp100747_c0_seq2,Q5F479,2E-50,Serine/threonine-protein kinase 11-interacting protein,2g8
comp100759_c0_seq1,A0R4R3,4E-12,3-ketosteroid-9-alpha-monooxygenase oxygenase subunit (EC 1.14.13.142) (3-ketosteroid-9-alpha-hydroxylase oxygenase subunit) (Rieske-type oxygenase) (RO),5925 MSMEI
comp100759_c2_seq1,P71875,1E-11,3-ketosteroid-9-alpha-monooxygenase oxygenase subunit (EC 1.14.13.142) (3-ketosteroid-9-alpha-hydroxylase oxygenase subunit) (Rieske-type oxygenase) (RO),Mycobacterium tuberculosis
comp100760_c0_seq1,P35448,1E-13,Thrombospondin-1,Xenopus laevis (African clawed frog)
comp100789_c0_seq1,Q8C8H8,7E-11,Kyphoscoliosis peptidase (EC 3.4.-.-),Mus musculus (Mouse)
comp100792_c0_seq1,Q8IWF2,1E-74,FAD-dependent oxidoreductase domain-containing protein 2 (Endoplasmic reticulum flavoprotein associated with degradation),Homo sapiens (Human)
comp100792_c1_seq1,A8GW75,2E-06,Ferredoxin--NADP reductase (FNR) (Fd-NADP(+) reductase) (EC 1.18.1.2),3745
comp100817_c0_seq1,Q9NNW5,7E-06,WD repeat-containing protein 6,Homo sapiens (Human)
comp100839_c0_seq1,Q7TSH2,2E-64,Phosphorylase b kinase regulatory subunit beta (Phosphorylase kinase subunit beta),Mus musculus (Mouse)
comp100874_c0_seq1,O08912,9E-30,Polypeptide N-acetylgalactosaminyltransferase 1 (EC 2.4.1.41) (Polypeptide GalNAc transferase 1) (GalNAc-T1) (pp-GaNTase 1) (Protein-UDP acetylgalactosaminyltransferase 1) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 1) [Cleaved into: Polypeptide N-acetylgalactosaminyltransferase 1 soluble form],Mus musculus (Mouse)
comp100892_c0_seq1,Q6A9R1,4E-43,Protein MraZ,Propionibacterium acnes (strain KPA171202 / DSM 16379)
comp100892_c1_seq1,A1SL89,4E-17,Protein MraZ,3072
comp100903_c0_seq2,Q9UPR0,3E-56,Inactive phospholipase C-like protein 2 (PLC-L(2)) (PLC-L2) (Phospholipase C-L2) (Phospholipase C-epsilon-2) (PLC-epsilon-2),Homo sapiens (Human)
comp100905_c0_seq1,Q9UGM3,3E-32,Deleted in malignant brain tumors 1 protein (Glycoprotein 340) (Gp-340) (Hensin) (Salivary agglutinin) (SAG) (Surfactant pulmonary-associated D-binding protein),Homo sapiens (Human)
comp100905_c2_seq1,Q60754,2E-09,Macrophage receptor MARCO (Macrophage receptor with collagenous structure),Mus musculus (Mouse)
comp100913_c0_seq1,Q8L7W8,1E-16,"""Alpha-L-fucosidase 2 (EC 3.2.1.51) (Alpha-1,2-fucosidase 2) (Alpha-L-fucoside fucohydrolase 2)""",Arabidopsis thaliana (Mouse-ear cress)
comp100920_c0_seq1,P42195,1E-19,HTH-type transcriptional regulator PecS,976
comp100921_c0_seq1,P15387,3E-37,Potassium voltage-gated channel subfamily B member 1 (Delayed rectifier potassium channel 1) (DRK1) (Voltage-gated potassium channel subunit Kv2.1),Rattus norvegicus (Rat)
comp100926_c0_seq1,Q9WTQ1,3E-58,Serine/threonine-protein kinase D1 (EC 2.7.11.13) (Protein kinase C mu type) (Protein kinase D) (nPKC-D1) (nPKC-mu),Rattus norvegicus (Rat)
comp100929_c1_seq1,Q8VDX6,2E-34,Transmembrane protein 5,Mus musculus (Mouse)
comp100934_c0_seq1,P35555,8E-30,Fibrillin-1,Homo sapiens (Human)
comp100934_c0_seq2,Q6UXH8,1E-06,Collagen and calcium-binding EGF domain-containing protein 1 (Full of fluid protein homolog),Homo sapiens (Human)
comp100937_c0_seq1,P10394,7E-15,Retrovirus-related Pol polyprotein from transposon 412 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease],Drosophila melanogaster (Fruit fly)
comp100963_c1_seq1,B1AUE5,1E-26,Peroxisome biogenesis factor 10 (Peroxin-10) (Peroxisomal biogenesis factor 10) (Peroxisome assembly protein 10),Mus musculus (Mouse)
comp100965_c0_seq1,A7TTL0,5E-07,ATP-dependent RNA helicase CHL1 (EC 3.6.4.13) (Chromosome loss protein 1),187p1
comp100965_c1_seq1,Q9NZ71,2E-32,Regulator of telomere elongation helicase 1 (EC 3.6.4.12) (Novel helicase-like),Homo sapiens (Human)
comp100966_c0_seq1,Q71MB6,5E-25,Solute carrier organic anion transporter family member 4C1 (Solute carrier family 21 member 20),Rattus norvegicus (Rat)
comp100966_c2_seq1,Q8K078,7E-30,Solute carrier organic anion transporter family member 4A1 (Organic anion-transporting polypeptide E) (OATP-E) (Sodium-independent organic anion transporter E) (Solute carrier family 21 member 12),Mus musculus (Mouse)
comp100981_c0_seq1,P39770,4E-11,Homeotic protein spalt-major,Drosophila melanogaster (Fruit fly)
comp101048_c0_seq1,Q86IC9,1E-12,Probable caffeoyl-CoA O-methyltransferase 1 (EC 2.1.1.104) (O-methyltransferase 5),G0275499
comp101055_c1_seq1,Q8R420,5E-44,ATP-binding cassette sub-family A member 3,Mus musculus (Mouse)
comp101065_c0_seq1,Q923Q2,3E-65,StAR-related lipid transfer protein 13 (START domain-containing protein 13) (StARD13),Mus musculus (Mouse)
comp101065_c0_seq2,Q923Q2,1E-62,StAR-related lipid transfer protein 13 (START domain-containing protein 13) (StARD13),Mus musculus (Mouse)
comp101070_c0_seq1,A5UBC5,3E-07,Ribosomal RNA small subunit methyltransferase C (EC 2.1.1.172) (16S rRNA m2G1207 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase RsmC),3255
comp101079_c0_seq1,Q0VCP9,1E-20,Coiled-coil domain-containing protein 149,Bos taurus (Bovine)
comp101083_c0_seq1,Q8IWU5,1E-36,Extracellular sulfatase Sulf-2 (hSulf-2) (EC 3.1.6.-),Homo sapiens (Human)
comp101091_c0_seq1,Q16832,6E-46,"""Discoidin domain-containing receptor 2 (Discoidin domain receptor 2) (EC 2.7.10.1) (CD167 antigen-like family member B) (Discoidin domain-containing receptor tyrosine kinase 2) (Neurotrophic tyrosine kinase, receptor-related 3) (Receptor protein-tyrosine kinase TKT) (Tyrosine-protein kinase TYRO10) (CD antigen CD167b)""",Homo sapiens (Human)
comp101105_c0_seq1,Q96AY4,2E-57,Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio),Homo sapiens (Human)
comp101105_c1_seq1,Q86YR5,1E-16,G-protein-signaling modulator 1 (Activator of G-protein signaling 3),Homo sapiens (Human)
comp101111_c0_seq1,Q8UVC3,8E-31,Inversin,Gallus gallus (Chicken)
comp101125_c0_seq1,P51111,2E-45,Huntingtin (Huntington disease protein homolog) (HD protein homolog),Rattus norvegicus (Rat)
comp101127_c0_seq2,Q9QUK4,2E-24,Baculoviral IAP repeat-containing protein 1b (Neuronal apoptosis inhibitory protein 2),Mus musculus (Mouse)
comp101135_c1_seq1,Q9I9B9,9E-16,Choline transporter-like protein 1 (Solute carrier family 44 member 1),Torpedo marmorata (Marbled electric ray)
comp101136_c0_seq1,Q9BWW7,3E-13,Transcriptional repressor scratch 1 (Scratch homolog 1 zinc finger protein) (SCRT) (Scratch 1) (hScrt),Homo sapiens (Human)
comp101136_c1_seq1,Q68DY1,5E-23,Zinc finger protein 626,Homo sapiens (Human)
comp101146_c0_seq2,Q14123,9E-36,"""Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C (Cam-PDE 1C) (EC 3.1.4.17) (hCam-3)""",Homo sapiens (Human)
comp101146_c1_seq1,Q08499,4E-97,"""cAMP-specific 3',5'-cyclic phosphodiesterase 4D (EC 3.1.4.17) (DPDE3) (PDE43)""",Homo sapiens (Human)
comp101158_c1_seq2,Q9QXJ1,1E-06,Amyloid beta A4 precursor protein-binding family B member 1 (Protein Fe65),Mus musculus (Mouse)
comp101173_c0_seq1,Q3UPY5,9E-54,Beta-galactosidase-1-like protein 2 (EC 3.2.1.-),Mus musculus (Mouse)
comp101177_c0_seq1,Q9FIZ7,5E-06,5-oxoprolinase (EC 3.5.2.9) (5-oxo-L-prolinase) (5-OPase) (Protein OXOPROLINASE 1) (Pyroglutamase),Arabidopsis thaliana (Mouse-ear cress)
comp101179_c0_seq1,B7ZRM8,2E-10,MDS1 and EVI1 complex locus protein EVI1-B (Ecotropic virus integration site 1 protein homolog-B),Xenopus laevis (African clawed frog)
comp10118_c0_seq1,Q12852,2E-28,Mitogen-activated protein kinase kinase kinase 12 (EC 2.7.11.25) (Dual leucine zipper bearing kinase) (DLK) (Leucine-zipper protein kinase) (ZPK) (MAPK-upstream kinase) (MUK) (Mixed lineage kinase),Homo sapiens (Human)
comp101180_c1_seq1,O64411,1E-24,Polyamine oxidase (EC 1.5.3.14) (EC 1.5.3.15),Zea mays (Maize)
comp101192_c1_seq1,Q66IZ7,2E-40,Nuclear distribution protein nudE-like 1-B,Xenopus laevis (African clawed frog)
comp101197_c0_seq1,Q9VCY8,3E-18,ADIPOR-like receptor CG5315,Drosophila melanogaster (Fruit fly)
comp101197_c1_seq1,Q9VCY8,9E-99,ADIPOR-like receptor CG5315,Drosophila melanogaster (Fruit fly)
comp101203_c0_seq2,Q922Q5,2E-73,Adenosine 3'-phospho 5'-phosphosulfate transporter 2 (PAPS transporter 2) (Solute carrier family 35 member B3),Mus musculus (Mouse)
comp101254_c0_seq2,Q96MM6,1E-20,Heat shock 70 kDa protein 12B,Homo sapiens (Human)
comp101271_c2_seq1,Q28293,3E-77,Potassium voltage-gated channel subfamily A member 2 (CSMK1) (Voltage-gated potassium channel subunit Kv1.2),Canis familiaris (Dog) (Canis lupus familiaris)
comp101287_c0_seq1,Q7TMF2,2E-30,3'-5' exoribonuclease 1 (EC 3.1.-.-) (3'-5' exonuclease ERI1) (Eri-1 homolog) (Histone mRNA 3'-exonuclease 1),Mus musculus (Mouse)
comp101296_c0_seq1,C1GB49,5E-06,Nuclear distribution protein PAC1 (Lissencephaly-1 homolog) (LIS-1) (nudF homolog),4850
comp101296_c1_seq1,Q803V5,8E-100,"""Target of rapamycin complex subunit lst8 (TORC subunit lst8) (G protein beta subunit-like) (Gable) (Protein GbetaL) (MTOR associated protein, LST8 homolog)""",Danio rerio (Zebrafish) (Brachydanio rerio)
comp101296_c1_seq2,Q803V5,3E-107,"""Target of rapamycin complex subunit lst8 (TORC subunit lst8) (G protein beta subunit-like) (Gable) (Protein GbetaL) (MTOR associated protein, LST8 homolog)""",Danio rerio (Zebrafish) (Brachydanio rerio)
comp101306_c0_seq1,Q90953,3E-08,Versican core protein (Chondroitin sulfate proteoglycan core protein 2) (Chondroitin sulfate proteoglycan 2) (Large fibroblast proteoglycan) (PG-M),Gallus gallus (Chicken)
comp101348_c0_seq1,Q9VW71,2E-26,Fat-like cadherin-related tumor suppressor homolog (Protein kugelei),Drosophila melanogaster (Fruit fly)
comp101350_c0_seq1,A4FDS0,5E-49,Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase),2917
comp101354_c0_seq1,B0S5N4,3E-24,Plexin A3,Danio rerio (Zebrafish) (Brachydanio rerio)
comp101356_c0_seq1,Q5IGR8,0,Exostosin-1a (EC 2.4.1.224) (EC 2.4.1.225) (Glucuronosyl-N-acetylglucosaminyl-proteoglycan/N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase 1a) (Multiple exostoses protein 1 homolog a),Danio rerio (Zebrafish) (Brachydanio rerio)
comp101375_c0_seq1,Q5REG4,8E-46,Probable E3 ubiquitin-protein ligase DTX3 (EC 6.3.2.-) (Protein deltex-3) (Deltex3),Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
comp101384_c0_seq1,Q9UL36,6E-13,Zinc finger protein 236,Homo sapiens (Human)
comp101385_c0_seq1,A7UA95,3E-13,Ras-associating and dilute domain-containing protein,Danio rerio (Zebrafish) (Brachydanio rerio)
comp101400_c1_seq1,Q28DB5,8E-84,Alanine aminotransferase 2 (ALT2) (EC 2.6.1.2) (Glutamate pyruvate transaminase 2) (GPT 2) (Glutamic--alanine transaminase 2) (Glutamic--pyruvic transaminase 2),Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
comp101411_c0_seq1,O68956,1E-12,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase),1568 MSMEI
comp101420_c0_seq1,Q5HYI8,1E-09,Rab-like protein 3,Homo sapiens (Human)
comp101422_c0_seq1,Q9UKT8,1E-35,F-box/WD repeat-containing protein 2 (F-box and WD-40 domain-containing protein 2) (Protein MD6),Homo sapiens (Human)
comp101435_c0_seq1,Q502J0,2E-45,Lysophosphatidylcholine acyltransferase 2 (LPC acyltransferase 2) (LPCAT-2) (LysoPC acyltransferase 2) (EC 2.3.1.-) (1-acylglycerophosphocholine O-acyltransferase) (EC 2.3.1.23) (1-alkylglycerophosphocholine O-acetyltransferase) (EC 2.3.1.67) (Acetyl-CoA:lyso-platelet-activating factor acetyltransferase) (Acetyl-CoA:lyso-PAF acetyltransferase) (Lyso-PAF acetyltransferase) (LysoPAFAT) (Acyltransferase-like 1),Danio rerio (Zebrafish) (Brachydanio rerio)
comp10147_c0_seq1,O35516,8E-17,Neurogenic locus notch homolog protein 2 (Notch 2) (Motch B) [Cleaved into: Notch 2 extracellular truncation; Notch 2 intracellular domain],Mus musculus (Mouse)
comp101490_c0_seq1,Q5ZIJ9,4E-73,E3 ubiquitin-protein ligase MIB2 (EC 6.3.2.-) (Mind bomb homolog 2),25j24
comp101491_c0_seq1,P66844,1E-33,Signal recognition particle protein (Fifty-four homolog),Mycobacterium tuberculosis
comp101509_c1_seq1,Q8BZ64,3E-08,Tectonic-1,Mus musculus (Mouse)
comp101515_c0_seq1,Q32KR8,6E-35,[Protein ADP-ribosylarginine] hydrolase (ADP-ribosylarginine hydrolase) (EC 3.2.2.19) (ADP-ribose-L-arginine cleaving enzyme),Bos taurus (Bovine)
comp101526_c0_seq2,Q8IW35,5E-62,Centrosomal protein of 97 kDa (Cep97) (Leucine-rich repeat and IQ domain-containing protein 2),Homo sapiens (Human)
comp101526_c1_seq1,Q6DIQ3,7E-09,Protein phosphatase 1 regulatory subunit 7 (Protein phosphatase 1 regulatory subunit 22),Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
comp101538_c0_seq1,Q6AYK9,4E-07,Chromodomain Y-like protein (CDY-like) (EC 2.3.1.48),Rattus norvegicus (Rat)
comp101540_c0_seq1,Q6IDD9,1E-49,Sterile alpha and TIR motif-containing protein 1 (Tir-1 homolog) (dSarm),Drosophila melanogaster (Fruit fly)
comp101540_c1_seq1,Q6SZW1,7E-29,Sterile alpha and TIR motif-containing protein 1 (Sterile alpha and Armadillo repeat protein) (Sterile alpha motif domain-containing protein 2) (MyD88-5) (SAM domain-containing protein 2) (Tir-1 homolog),Homo sapiens (Human)
comp101596_c0_seq1,Q9NUJ3,6E-08,T-complex protein 11-like protein 1,Homo sapiens (Human)
comp101610_c0_seq1,Q9JIM3,3E-19,Putative DNA repair and recombination protein RAD26-like (EC 3.6.4.-),Mus musculus (Mouse)
comp101610_c2_seq1,Q5T890,8E-19,Putative DNA repair and recombination protein RAD26-like (EC 3.6.4.-),Homo sapiens (Human)
comp101623_c0_seq1,P34147,2E-13,Rho-related protein racA,G0286555
comp101630_c0_seq1,Q6DIR5,7E-09,Testin,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
comp101636_c0_seq1,O34718,6E-13,Major myo-inositol transporter IolT,Bacillus subtilis (strain 168)
comp101645_c0_seq1,Q5RF84,1E-65,Ubiquitin-conjugating enzyme E2 G2 (EC 6.3.2.19) (Ubiquitin carrier protein G2) (Ubiquitin-protein ligase G2),Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
comp101656_c1_seq1,Q99P21,7E-61,A/G-specific adenine DNA glycosylase (EC 3.2.2.-) (MutY homolog) (mMYH),Mus musculus (Mouse)
comp101661_c0_seq1,Q9Z1L4,1E-16,Retinoschisin (X-linked juvenile retinoschisis protein homolog),Mus musculus (Mouse)
comp101661_c0_seq4,P21956,4E-27,Lactadherin (MFGM) (Milk fat globule-EGF factor 8) (MFG-E8) (SED1) (Sperm surface protein SP47) (MP47),Mus musculus (Mouse)
comp101662_c0_seq1,Q01177,1E-15,"""Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]""",Rattus norvegicus (Rat)
comp101676_c0_seq1,B4KNC5,2E-44,F-box/SPRY domain-containing protein 1,Drosophila mojavensis (Fruit fly)
comp101681_c0_seq2,Q08D11,2E-38,Phosphatidylserine synthase 2 (PSS-2) (PtdSer synthase 2) (EC 2.7.8.29) (Serine-exchange enzyme II),Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
comp101721_c0_seq1,Q08D51,2E-06,Autophagy-related protein 2 homolog A,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
comp101731_c1_seq1,Q7N2E0,9E-07,Transcriptional regulator LsrR,Photorhabdus luminescens subsp. laumondii (strain TT01)
comp101762_c1_seq2,P18106,3E-10,Tyrosine-protein kinase Fps85D (EC 2.7.10.2) (dFer),Drosophila melanogaster (Fruit fly)
comp101768_c0_seq1,Q0S9A4,4E-09,Ribose import ATP-binding protein RbsA (EC 3.6.3.17),ro04085
comp101771_c0_seq1,Q8K385,2E-14,Ferric-chelate reductase 1 (EC 1.-.-.-) (Stromal cell-derived receptor 2) (SDR-2),Mus musculus (Mouse)
comp101777_c0_seq2,Q5RAS7,5E-103,AMME syndrome candidate gene 1 protein homolog,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
comp101799_c0_seq1,Q2HJ46,3E-23,E3 ubiquitin-protein ligase RNF8 (EC 6.3.2.-) (RING finger protein 8),Bos taurus (Bovine)
comp101801_c0_seq2,Q9JK24,5E-107,Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma (Protein phosphatase subunit G5PR),Mus musculus (Mouse)
comp101817_c0_seq1,D3ZQG6,2E-81,Tripartite motif-containing protein 2 (EC 6.3.2.-) (E3 ubiquitin-protein ligase TRIM2),Rattus norvegicus (Rat)
comp101822_c0_seq1,Q5RA50,1E-22,Protein FAM124A,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
comp101841_c0_seq1,Q9VX32,6E-118,Rho GTPase-activating protein 190 (Rho GTPase-activating protein of 190 kDa),Drosophila melanogaster (Fruit fly)
comp101903_c0_seq1,O42412,3E-53,Type III iodothyronine deiodinase (EC 1.97.1.11) (5DIII) (DIOIII) (Type 3 DI) (Type-III 5'-deiodinase) (Fragment),Gallus gallus (Chicken)
